Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.195542761308929,-0.0543004566173789,-0.00311358705126816,0,0,0,2.82497847633582,0.000691365018399165,-7.21989726832368E-06,-8.28623313768042E-06,0.00220366922516715,9.93940688552824E-06,0.0021607307802539,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/base_link.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-009-KCCM_segment_extension_ver4-1;CSI-100_DrivingUnitAssy_V4-1;CSI-106_BonePunchHandleAssy_V4-1;CSI-107_HandleBracket_V4-1;CSI-105_OverheadCover_V4-3;91290A180_Alloy Steel Socket Head Screw-1;91290A180_Alloy Steel Socket Head Screw-2;91290A180_Alloy Steel Socket Head Screw-4;91290A180_Alloy Steel Socket Head Screw-6;CSI3-ASM001-v3 Bending Section Assembly-1/91290A110_Alloy Steel Socket Head Screw-1;CSI3-ASM001-v3 Bending Section Assembly-1/91290A110_Alloy Steel Socket Head Screw-4;CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-003-KCCM_base_ver3-1;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-41;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-21,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0101457727235753,-1.38937210070189E-08,1.73744119369434E-08,0,0,0,0.000801545700671476,4.87957028547107E-09,8.24174385783391E-15,5.49944055996202E-15,4.45101627891487E-08,-2.78849773361008E-15,4.8971339648408E-08,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_1.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_1.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-005-KCCM_bridge_ver3-1,base_frame,Joint_1,Joint_1,revolute,0,0,0,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
link_2,-0.0041346,-4.838E-08,1.8992E-09,0,0,0,0.0033683,8.7289E-08,-4.858E-14,-2.9376E-13,2.1214E-07,-3.2726E-09,2.175E-07,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_2.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_2.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-004-KCCM_link_ver2-1;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-39;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-37;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-19;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-17,Frame_2,Joint_2,Joint_2,revolute,0.028,0,0,0,0,0,link_1,0,0,1,0,0,0,0,,,,,,,,
link_3,-0.0102371819343171,-6.95258367544582E-09,6.79990827257004E-08,0,0,0,0.000776703550787097,4.54352451091879E-09,-8.73669351483935E-14,-1.17844997889738E-14,4.07691636249048E-08,2.11595273770962E-14,4.49040530272986E-08,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_3.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-015-KCCM_bridge_end_ver1-1,Frame_3,Joint_3,Joint_3,revolute,0.02,0,0,0,0,0,link_2,0,0,1,0,0,0,0,,,,,,,,
link_4,-0.00413458669102168,-5.31176039264558E-08,1.89923374249723E-09,0,0,0,0.00336830557166159,8.7289371529378E-08,-5.08154165546928E-14,-1.65928902421146E-13,2.12140667540327E-07,-3.27257912690215E-09,2.1749531315581E-07,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_4.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_4.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-004-KCCM_link_ver2-2;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-35;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-33;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-13;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-15,Frame_4,Joint_4,Joint_4,revolute,0.008,0,0,0,0,0,link_3,0,0,1,0,0,0,0,,,,,,,,
link_5,-0.00976281806568305,6.95260793381891E-09,6.7999082947745E-08,0,0,0,0.000776703550787119,4.54352451091898E-09,-8.73669258551938E-14,1.17844997507639E-14,4.07691636249061E-08,-2.11595273789002E-14,4.49040530272999E-08,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_5.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_5.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-015-KCCM_bridge_end_ver1-2,Frame_5,Joint_5,Joint_5,revolute,0.02,0,0,0,0,0,link_4,0,0,1,0,0,0,0,,,,,,,,
link_6,-0.0041346,-5.4614E-08,1.8992E-09,0,0,0,0.0033683,8.7289E-08,-6.1181E-14,-9.4893E-14,2.1214E-07,-3.2726E-09,2.175E-07,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_6.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_6.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-004-KCCM_link_ver2-3;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-31;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-29;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-11;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-9,Frame_6,Joint_6,Joint_6,revolute,0.008,0,0,0,0,0,link_5,0,0,1,0,0,0,0,,,,,,,,
link_7,-0.0101457727235751,1.38937032434505E-08,1.737441177041E-08,0,0,0,0.000801545700671478,4.87957028547109E-09,8.24176223841101E-15,-5.49944063782202E-15,4.45101627891479E-08,2.78849774344208E-15,4.89713396484073E-08,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_7.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_7.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-005-KCCM_bridge_ver3-4,Frame_7,Joint_7,Joint_7,revolute,0.02,0,0,0,0,0,link_6,0,0,1,0,0,0,0,,,,,,,,
link_8,-0.00413459043224676,-5.42795224878212E-08,1.89923382576396E-09,0,0,0,0.00336830557166155,8.72893847155127E-08,-5.77927943524461E-14,-1.14282567555678E-13,2.12140654354189E-07,-3.27258604345153E-09,2.17495313155808E-07,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_8.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_8.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-004-KCCM_link_ver2-4;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-27;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-25;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-7;CSI3-ASM001-v3 Bending Section Assembly-1/92000A004_Passivated 18-8 Stainless Steel Pan Head Phillips Screws-5,Frame_8,Joint_8,Joint_8,revolute,0.008,0,0,0,0,0,link_7,0,0,1,0,0,0,0,,,,,,,,
link_9,-0.0101457727235744,1.38935972171517E-08,1.73744119369434E-08,0,0,0,0.000801545700671512,4.87957028547128E-09,8.24175386493798E-15,-5.49944063220866E-15,4.45101627891502E-08,2.78849776675144E-15,4.89713396484096E-08,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_9.STL,1,1,1,1,0,0,0,0,0,0,package://CSI-200_BoneCuttingToolFullAssy_V4_URDF/meshes/link_9.STL,,CSI3-ASM001-v3 Bending Section Assembly-1/CSI3-005-KCCM_bridge_ver3-5,Frame_9,Joint_9,Joint_9,revolute,0.02,0,0,0,0,0,link_8,0,0,1,0,0,0,0,,,,,,,,
